,site_id,transect,a_b,site,reserve,habitat,sample_date,sample_year,depth,depth_category,season,visibility,factor_visibility,observer,species,size,distance,date_id,taxonomy_group,long,lat,tag,a,b,fish_weight,norm_wt,Diet
20,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
21,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
22,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
23,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,4,16757,fish,35.092,33.073,Achziv101Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
24,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
25,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
26,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
27,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Coris julis,8,1.5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0068,3.1178,4.447980495,0.001370522,Ma
28,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
29,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
30,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
31,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
32,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,15,2,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,43.86130673,NA,H
33,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,15,2,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,43.86130673,NA,H
34,Achziv10,1,a,Achziv,R,Rocky,09/11/2017,2017,10,10,Fall,8,0.416666667,SE,Siganus rivulatus,8,2,17479,fish,35.092,33.073,Achziv101Fall2017,0.0075,3.203,5.856774349,NA,H
35,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus luridus,10,2,16757,fish,35.092,33.073,Achziv101Fall2015,0.011,3.04,12.06126016,0.114942871,H
36,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
37,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
38,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
39,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
40,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,6,4,17291,fish,35.092,33.073,Achziv101Spring2017,0.0147,3.0513,3.480889565,0.119086845,PK
41,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
42,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
43,Achziv10,3,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Siganus luridus,12.5,4,17631,fish,35.092,33.073,Achziv103Spring2018,0.011,3.04,23.76835496,0.233846546,H
44,Achziv10,1,a,Achziv,R,Rocky,09/11/2017,2017,10,10,Fall,8,0.416666667,SE,Siganus rivulatus,8,2,17479,fish,35.092,33.073,Achziv101Fall2017,0.0075,3.203,5.856774349,NA,H
45,Achziv10,1,a,Achziv,R,Rocky,09/11/2017,2017,10,10,Fall,8,0.416666667,SE,Siganus rivulatus,8,2,17479,fish,35.092,33.073,Achziv101Fall2017,0.0075,3.203,5.856774349,NA,H
46,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
47,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
48,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
49,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
50,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
51,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
52,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
53,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
54,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,6,4,17291,fish,35.092,33.073,Achziv101Spring2017,0.0147,3.0513,3.480889565,0.119086845,PK
55,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
56,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,6,4,17291,fish,35.092,33.073,Achziv101Spring2017,0.0147,3.0513,3.480889565,0.119086845,PK
57,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Epinephelus costae,60,2,17291,fish,35.092,33.073,Achziv101Spring2017,0.0176,2.885,2373.990765,0.43587607,Ma
58,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Epinephelus costae,60,2,17291,fish,35.092,33.073,Achziv101Spring2017,0.0176,2.885,2373.990765,0.43587607,Ma
59,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
60,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
61,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
62,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
63,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
64,Achziv10,2,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,5,2,17631,fish,35.092,33.073,Achziv102Spring2018,0.0147,3.0513,1.995650609,0.067524064,PK
65,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
66,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
67,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
68,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,6,4,17291,fish,35.092,33.073,Achziv101Spring2017,0.0147,3.0513,3.480889565,0.119086845,PK
69,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
70,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
71,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
72,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Serranus scriba,12,1.5,17291,fish,35.092,33.073,Achziv101Spring2017,0.0095,3.122,22.2293854,0.183925581,Ma
73,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus luridus,15,1.5,16757,fish,35.092,33.073,Achziv101Fall2015,0.011,3.04,41.37234263,0.412642298,H
74,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
75,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
76,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
77,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
78,Achziv10,3,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Siganus luridus,12.5,4,17631,fish,35.092,33.073,Achziv103Spring2018,0.011,3.04,23.76835496,0.233846546,H
79,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Coris julis,4,1,16757,fish,35.092,33.073,Achziv102Fall2015,0.0068,3.1178,0.51240287,0.000141574,Ma
80,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
81,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
82,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
83,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
84,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
85,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
86,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
87,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
88,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
89,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
90,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
91,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
92,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
93,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
94,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
95,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
96,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
97,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
98,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
99,Achziv10,1,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Mycteroperca rubra,35,0,17291,fish,35.092,33.073,Achziv101Spring2017,0.008,3.065,432.1739076,0.055243733,FC
100,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
101,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus luridus,15,1.5,16757,fish,35.092,33.073,Achziv101Fall2015,0.011,3.04,41.37234263,0.412642298,H
102,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
103,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
104,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
105,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
106,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
107,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
108,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
109,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
110,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
111,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
112,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
113,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
114,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
115,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
116,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
117,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,1.5,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
118,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
119,Achziv10,3,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Siganus luridus,12.5,4,17631,fish,35.092,33.073,Achziv103Spring2018,0.011,3.04,23.76835496,0.233846546,H
120,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
