Family	tag	AchzivR251Fall2019	AchzivR251Fall2020	AchzivR251Fall2021	AchzivR251Spring2019	AchzivR251Spring2020	AchzivR251Spring2021	AchzivR252Fall2019	AchzivR252Fall2020	AchzivR252Fall2021	AchzivR252Spring2019	AchzivR252Spring2020	AchzivR252Spring2021	AchzivR253Fall2019	AchzivR253Fall2020	AchzivR253Fall2021	AchzivR253Spring2019	AchzivR253Spring2020	AchzivR253Spring2021	AchzivR254Fall2019	AchzivR254Fall2020	AchzivR254Fall2021	AchzivR254Spring2019	AchzivR254Spring2020	AchzivR254Spring2021	AshdodN301Spring2019	AshkelonN301Fall2020	AshkelonN301Spring2019	AshkelonN302Fall2020	AshkelonN302Fall2021	AshkelonN302Spring2019	AshkelonN303Fall2020	AshkelonN303Spring2019	AshkelonN304Fall2020	AshkelonN304Fall2021	AshkelonN304Spring2019	SdotYamN251Fall2019	SdotYamN251Fall2020	SdotYamN251Fall2021	SdotYamN251Spring2019	SdotYamN251Spring2020	SdotYamN251Spring2021	SdotYamN252Fall2019	SdotYamN252Fall2020	SdotYamN252Fall2021	SdotYamN252Spring2019	SdotYamN252Spring2020	SdotYamN252Spring2021	SdotYamN253Fall2019	SdotYamN253Fall2020	SdotYamN253Fall2021	SdotYamN253Spring2019	SdotYamN253Spring2020	SdotYamN253Spring2021	SdotYamN254Fall2019	SdotYamN254Fall2020	SdotYamN254Fall2021	SdotYamN254Spring2019	SdotYamN254Spring2020	SdotYamN254Spring2021	SharonN301Fall2020	SharonN301Fall2021	SharonN301Spring2021	SharonN302Fall2020	SharonN302Fall2021	SharonN302Spring2021	SharonN303Fall2020	SharonN303Fall2021	SharonN303Spring2021	SharonN304Fall2020	SharonN304Fall2021	SharonN304Spring2021	
Serranidae	Mycteroperca.rubra	2	2	15	3	2	5	3	6	4	1	2	1	4	4	7	0	1	4	0	9	3	0	0	2	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	42	24	0	5	0	0	3	2	0	2	0	0	0	0	0	36	0	0	1	0	1	0	1	15	21	0	0	0	0	239
Serranidae	Serranus.cabrilla	1	2	0	1	1	0	0	1	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	1	0	0	2	1	0	2	0	0	2	2	0	5	0	2	1	0	0	4	0	0	0	0	1	2	1	0	43
Serranidae	Serranus.scriba	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Siganidae	Siganus.luridus	0	0	0	0	0	0	2	5	14	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
Siganidae	Siganus.rivulatus	0	0	0	0	0	0	0	20	24	0	0	2	20	10	0	0	1	0	3	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	5	80	0	0	0	10	0	0	0	0	0	40	0	60	0	0	0	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	349
Sparidae	Diplodus.cervinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	51	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
Sparidae	Diplodus.sargus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Sparidae	Diplodus.vulgaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
Tetraodontidae	Torquigener.flavimaculosus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	6	4	0	10	0	0	4	1	0	2	4	5	4	3	0	2	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	59
#N/A	Sardin.sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
