transect,a_b,site,reserve,habitat,sample_date,sample_year,depth,depth_category,season,site_id,tag,visibility,factor_visibility,observer,species,size,distance,date_id,taxonomy_group
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
3,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN253Spring2015,10,0.333333333,SE,Coris julis,8,0.2,16583,fish
3,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN253Spring2015,10,0.333333333,SE,Chromis chromis,8,0.2,16583,fish
3,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN253Spring2015,10,0.333333333,SE,Sargocentron rubrum,15,0.5,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Balistes capriscus,30,2.5,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Balistes capriscus,30,2.5,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
4,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN254Spring2015,10,0.333333333,SE,Coris julis,10,1.3,16583,fish
1,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN451Spring2015,10,0.333333333,SE,Serranus cabrilla,12,0.4,16604,fish
2,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN452Spring2015,10,0.333333333,SE,Serranus cabrilla,15,0.6,16604,fish
2,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN452Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
2,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN452Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Chromis chromis,10,0.6,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Coris julis,12,1,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Coris julis,12,1,16604,fish
3,a,Sdot yam,N,Rocky,18/06/2015,2015,42,45,Spring,SdotYam45,Sdot yamN453Spring2015,10,0.333333333,SE,Serranus cabrilla,15,0.8,16604,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Chromis chromis,10,1,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Chromis chromis,8,2.5,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Chromis chromis,8,2.5,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Chromis chromis,8,2.5,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,6,1.2,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,8,0,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,8,0,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,8,0,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,8,0,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,6,1,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,6,1,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Coris julis,6,1,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Epinephelus marginatus,19,0.6,16744,fish
1,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN101Spring2015,18,0.185185185,SE,Thalassoma pavo,12,1.2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,10,2.5,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,10,2.5,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,10,2.5,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,10,2.5,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,8,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,8,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,8,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,8,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,8,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Chromis chromis,8,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,6,0.5,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,6,0.5,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,6,0.4,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,6,0.4,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,8,0.4,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,8,0.4,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,8,0.4,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,6,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Coris julis,6,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Sargocentron rubrum,15,1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Serranus cabrilla,12,0.1,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Thalassoma pavo,10,2,16744,fish
2,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN102Spring2015,18,0.185185185,SE,Thalassoma pavo,12,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Chromis chromis,10,1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Chromis chromis,10,1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Chromis chromis,10,1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Chromis chromis,10,1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,6,0.1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,6,0.1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,8,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,8,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,6,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,6,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,6,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,6,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,8,1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,10,0.1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,10,0.1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,10,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,10,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,10,0.5,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,8,1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,8,1,16744,fish
3,a,Sdot yam,N,Rocky,05/11/2015,2015,10,10,Spring,SdotYam10,Sdot yamN103Spring2015,18,0.185185185,SE,Coris julis,10,1,16744,fish
