"","site_id","site","reserve","sample_date","sample_year","depth_category","season","visibility","date_id","taxonomy_group","long","lat","tag","species","total_ind","n_species_sample","n_ind_sample"
"21","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",10,18017,"fish",35.092,33.073,"Achziv104Spring2019","Coris julis",1,5,72
"22","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",10,18017,"fish",35.092,33.073,"Achziv104Spring2019","Mycteroperca rubra",1,5,72
"23","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",10,18017,"fish",35.092,33.073,"Achziv104Spring2019","Serranus cabrilla",1,5,72
"24","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",10,18017,"fish",35.092,33.073,"Achziv104Spring2019","Thalassoma pavo",38,5,72
"25","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv101Spring2017","Chromis chromis",13,6,27
"26","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv101Spring2017","Epinephelus costae",2,6,27
"27","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv101Spring2017","Epinephelus marginatus",1,6,27
"28","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv101Spring2017","Mycteroperca rubra",1,6,27
"29","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv101Spring2017","Serranus scriba",1,6,27
"30","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv101Spring2017","Thalassoma pavo",9,6,27
"31","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv102Spring2017","Chromis chromis",109,5,122
"32","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv102Spring2017","Coris julis",1,5,122
"33","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv102Spring2017","Mycteroperca rubra",1,5,122
"34","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv102Spring2017","Siganus rivulatus",5,5,122
"35","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv102Spring2017","Thalassoma pavo",6,5,122
"36","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv103Spring2017","Chromis chromis",20,4,47
"37","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv103Spring2017","Coris julis",7,4,47
"38","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv103Spring2017","Thalassoma pavo",19,4,47
"39","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv103Spring2017","Torquigener flavimaculosus",1,4,47
"40","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv104Spring2017","Chromis chromis",50,7,63
"41","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv104Spring2017","Coris julis",2,7,63
"42","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv104Spring2017","Mycteroperca rubra",2,7,63
"43","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv104Spring2017","Siganus luridus",3,7,63
"44","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv104Spring2017","Siganus rivulatus",2,7,63
"45","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv104Spring2017","Thalassoma pavo",2,7,63
"46","Achziv10","Achziv","R","05/05/2017",2017,10,"Spring",8,17291,"fish",35.092,33.073,"Achziv104Spring2017","Torquigener flavimaculosus",2,7,63
"47","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Chromis chromis",10,8,112
"48","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Epinephelus marginatus",2,8,112
"49","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Mycteroperca rubra",1,8,112
"50","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Sargocentron rubrum",1,8,112
"51","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Siganus luridus",8,8,112
"52","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Siganus rivulatus",53,8,112
"53","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Thalassoma pavo",33,8,112
"54","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",9,18205,"fish",35.092,33.073,"Achziv101Fall2019","Torquigener flavimaculosus",4,8,112
"55","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Chromis chromis",33,9,188
"56","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Epinephelus marginatus",1,9,188
"57","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Mycteroperca rubra",4,9,188
"58","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Parupeneus forsskali",1,9,188
"59","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Pterois miles",2,9,188
"60","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Sargocentron rubrum",2,9,188
"61","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Siganus luridus",92,9,188
"62","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Siganus rivulatus",50,9,188
"63","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv102Fall2019","Thalassoma pavo",3,9,188
"64","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Coris julis",3,8,68
"65","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Epinephelus costae",1,8,68
"66","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Epinephelus marginatus",3,8,68
"67","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Mycteroperca rubra",8,8,68
"68","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Parupeneus forsskali",3,8,68
"69","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Siganus luridus",30,8,68
"70","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Siganus rivulatus",15,8,68
"71","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv103Fall2019","Thalassoma pavo",5,8,68
"72","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Chromis chromis",77,9,160
"73","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Coris julis",6,9,160
"74","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Epinephelus costae",1,9,160
"75","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Parupeneus forsskali",22,9,160
"76","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Saprisoma cretense",5,9,160
"77","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Serranus cabrilla",1,9,160
"78","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Siganus luridus",31,9,160
"79","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Siganus rivulatus",2,9,160
"80","Achziv10","Achziv","R","05/11/2019",2019,10,"Fall",10,18205,"fish",35.092,33.073,"Achziv104Fall2019","Thalassoma pavo",15,9,160
"81","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv101Spring2016","Chromis chromis",21,6,36
"82","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv101Spring2016","Coris julis",9,6,36
"83","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv101Spring2016","Mycteroperca rubra",1,6,36
"84","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv101Spring2016","Parablennius rouxi",1,6,36
"85","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv101Spring2016","Sargocentron rubrum",2,6,36
"86","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv101Spring2016","Thalassoma pavo",2,6,36
"87","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Chromis chromis",38,9,91
"88","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Coris julis",2,9,91
"89","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Epinephelus marginatus",2,9,91
"90","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Mycteroperca rubra",1,9,91
"91","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Saprisoma cretense",27,9,91
"92","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Sargocentron rubrum",2,9,91
"93","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Siganus luridus",2,9,91
"94","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Siganus rivulatus",9,9,91
"95","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv102Spring2016","Thalassoma pavo",8,9,91
"96","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv103Spring2016","Chromis chromis",23,5,51
"97","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv103Spring2016","Coris julis",16,5,51
"98","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv103Spring2016","Sargocentron rubrum",4,5,51
"99","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv103Spring2016","Siganus rivulatus",4,5,51
"100","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv103Spring2016","Thalassoma pavo",4,5,51
"101","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv104Spring2016","Chromis chromis",4,4,10
"102","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv104Spring2016","Coris julis",2,4,10
"103","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv104Spring2016","Siganus luridus",1,4,10
"104","Achziv10","Achziv","R","09/05/2016",2016,10,"Spring",10,16930,"fish",35.092,33.073,"Achziv104Spring2016","Thalassoma pavo",3,4,10
"105","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv101Fall2017","Chromis chromis",80,5,261
"106","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv101Fall2017","Coris julis",11,5,261
"107","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv101Fall2017","Siganus luridus",20,5,261
"108","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv101Fall2017","Siganus rivulatus",145,5,261
"109","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv101Fall2017","Thalassoma pavo",5,5,261
"110","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv102Fall2017","Chromis chromis",110,7,171
"111","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv102Fall2017","Coris julis",6,7,171
"112","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv102Fall2017","Epinephelus costae",11,7,171
"113","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv102Fall2017","Parupeneus forsskali",3,7,171
"114","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv102Fall2017","Sargocentron rubrum",2,7,171
"115","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv102Fall2017","Siganus rivulatus",34,7,171
"116","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv102Fall2017","Thalassoma pavo",5,7,171
"117","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv103Fall2017","Chromis chromis",84,7,181
"118","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv103Fall2017","Coris julis",10,7,181
"119","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv103Fall2017","Parupeneus forsskali",1,7,181
"120","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv103Fall2017","Sargocentron rubrum",1,7,181
"121","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv103Fall2017","Siganus rivulatus",80,7,181
"122","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv103Fall2017","Taeniurops grabatus",1,7,181
"123","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv103Fall2017","Thalassoma pavo",4,7,181
"124","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv104Fall2017","Chromis chromis",90,7,148
"125","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv104Fall2017","Parupeneus forsskali",2,7,148
"126","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv104Fall2017","Sargocentron rubrum",1,7,148
"127","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv104Fall2017","Siganus rivulatus",40,7,148
"128","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv104Fall2017","Sparisoma cretense",1,7,148
"129","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv104Fall2017","Thalassoma pavo",11,7,148
"130","Achziv10","Achziv","R","09/11/2017",2017,10,"Fall",8,17479,"fish",35.092,33.073,"Achziv104Fall2017","Torquigener flavimaculosus",3,7,148
"131","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv101Spring2018","Chromis chromis",116,7,152
"132","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv101Spring2018","Coris julis",2,7,152
"133","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv101Spring2018","Epinephelus costae",2,7,152
"134","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv101Spring2018","Saprisoma cretense",3,7,152
"135","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv101Spring2018","Siganus luridus",10,7,152
"136","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv101Spring2018","Siganus rivulatus",16,7,152
"137","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv101Spring2018","Thalassoma pavo",3,7,152
"138","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv102Spring2018","Chromis chromis",88,7,117
"139","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv102Spring2018","Epinephelus costae",1,7,117
"140","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv102Spring2018","Mycteroperca rubra",1,7,117
"141","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv102Spring2018","Sargocentron rubrum",1,7,117
"142","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv102Spring2018","Siganus luridus",22,7,117
"143","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv102Spring2018","Siganus rivulatus",3,7,117
"144","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv102Spring2018","Thalassoma pavo",1,7,117
"145","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv103Spring2018","Chromis chromis",91,5,130
"146","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv103Spring2018","Coris julis",16,5,130
"147","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv103Spring2018","Rhabdosargus haffara",1,5,130
"148","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv103Spring2018","Siganus luridus",16,5,130
"149","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv103Spring2018","Thalassoma pavo",6,5,130
"150","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv104Spring2018","Chromis chromis",50,7,76
"151","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv104Spring2018","Coris julis",5,7,76
"152","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv104Spring2018","Epinephelus marginatus",1,7,76
"153","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv104Spring2018","Sargocentron rubrum",3,7,76
"154","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv104Spring2018","Siganus luridus",3,7,76
"155","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv104Spring2018","Siganus rivulatus",11,7,76
"156","Achziv10","Achziv","R","10/04/2018",2018,10,"Spring",6,17631,"fish",35.092,33.073,"Achziv104Spring2018","Thalassoma pavo",3,7,76
"157","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv101Spring2022","Chromis chromis",20,7,103
"158","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv101Spring2022","Epinephelus costae",2,7,103
"159","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv101Spring2022","Epinephelus marginatus",2,7,103
"160","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv101Spring2022","Mycteroperca rubra",8,7,103
"161","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv101Spring2022","Serranus scriba",4,7,103
"162","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv101Spring2022","Siganus luridus",45,7,103
"163","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv101Spring2022","Thalassoma pavo",22,7,103
"164","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv102Spring2022","Chromis chromis",22,5,74
"165","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv102Spring2022","Epinephelus costae",2,5,74
"166","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv102Spring2022","Epinephelus marginatus",4,5,74
"167","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv102Spring2022","Siganus luridus",34,5,74
"168","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv102Spring2022","Thalassoma pavo",12,5,74
"169","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv103Spring2022","Chromis chromis",27,6,124
"170","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv103Spring2022","Coris julis",2,6,124
"171","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv103Spring2022","Epinephelus costae",1,6,124
"172","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv103Spring2022","Epinephelus marginatus",2,6,124
"173","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv103Spring2022","Siganus luridus",67,6,124
"174","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv103Spring2022","Thalassoma pavo",25,6,124
"175","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv104Spring2022","Chromis chromis",70,7,125
"176","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv104Spring2022","Epinephelus costae",2,7,125
"177","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv104Spring2022","Epinephelus marginatus",4,7,125
"178","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv104Spring2022","Mycteroperca rubra",3,7,125
"179","Achziv10","Achziv","R","10/05/2022",2022,10,"Spring",9,19122,"fish",35.092,33.073,"Achziv104Spring2022","Scarus ghobban",4,7,125
