"","site_id","site","reserve","sample_date","sample_year","depth_category","season","visibility","date_id","taxonomy_group","long","lat","tag","n_species_sample","n_ind_sample","Acantholabrus palloni","Argyrosomus regius","Atherinomorus forskalii","Balistes capriscus","Cheilodipterus novemstriatus","Chromis chromis","Coris julis","Dasyatis pastinaca","Diplodus cervinus","Diplodus puntazzo","Diplodus sargus","Diplodus vulgaris","Echeneis sp","Epinephelus costae","Epinephelus marginatus","Fistularia commersonii","Gobius bucchichi","Gobius vittatus","Muraena helena","Mycteroperca rubra","Pagrus auriga","Pagrus caeruleostictus","Parablennius rouxi","Parupeneus forsskali","Pterois miles","Salpa salpa","Saprisoma cretense","Sardin sp","Sargocentron rubrum","Scarus ghobban","Sciaena umbra","Scomber sp","Scomberomorus commerson","Seriola dumerili","Serranus cabrilla","Serranus scriba","Siganus luridus","Siganus rivulatus","Sparisoma cretense","Symphodus mediterraneus","Symphodus tinca","Synodus saurus","Taeniurops grabatus","Thalassoma pavo","Torquigener flavimaculosus"
"11","Achziv25","Achziv","R","05/11/2019",2019,25,"Fall",9,18205,"fish",35.092,33.073,"Achziv253Fall2019",9,230,0,0,0,0,0,190,3,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5,0,0,0,0,5,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0
"12","Achziv25","Achziv","R","05/11/2019",2019,25,"Fall",10,18205,"fish",35.092,33.073,"Achziv254Fall2019",8,114,0,0,0,0,0,90,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0
"13","Achziv25","Achziv","R","09/11/2017",2017,25,"Fall",12,17479,"fish",35.092,33.073,"Achziv251Fall2017",7,38,0,0,0,0,0,3,12,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"14","Achziv25","Achziv","R","09/11/2017",2017,25,"Fall",12,17479,"fish",35.092,33.073,"Achziv252Fall2017",6,32,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0
"15","Achziv25","Achziv","R","09/11/2017",2017,25,"Fall",12,17479,"fish",35.092,33.073,"Achziv253Fall2017",8,70,0,0,0,0,0,5,2,0,0,0,0,0,0,3,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,1,0
"16","Achziv25","Achziv","R","09/11/2017",2017,25,"Fall",12,17479,"fish",35.092,33.073,"Achziv254Fall2017",9,41,0,0,0,0,0,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,4,0,0,9,0,0,0,0,0,2,1
"17","Achziv25","Achziv","R","10/04/2018",2018,25,"Spring",7,17631,"fish",35.092,33.073,"Achziv253Spring2018",6,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,3
"18","Achziv25","Achziv","R","10/04/2018",2018,25,"Spring",7,17631,"fish",35.092,33.073,"Achziv254Spring2018",5,27,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"19","Achziv25","Achziv","R","10/04/2018",2018,25,"Spring",9,17631,"fish",35.092,33.073,"Achziv251Spring2018",7,30,0,0,0,0,0,0,5,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0
"20","Achziv25","Achziv","R","10/04/2018",2018,25,"Spring",9,17631,"fish",35.092,33.073,"Achziv252Spring2018",7,20,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
"21","Achziv25","Achziv","R","10/05/2022",2022,25,"Spring",9,19122,"fish",35.092,33.073,"Achziv253Spring2022",6,18,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"22","Achziv25","Achziv","R","10/05/2022",2022,25,"Spring",9,19122,"fish",35.092,33.073,"Achziv254Spring2022",8,34,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"23","Achziv25","Achziv","R","10/05/2022",2022,25,"Spring",10,19122,"fish",35.092,33.073,"Achziv251Spring2022",7,30,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"24","Achziv25","Achziv","R","10/05/2022",2022,25,"Spring",10,19122,"fish",35.092,33.073,"Achziv252Spring2022",6,22,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0
"25","Achziv25","Achziv","R","11/04/2016",2016,25,"Spring",12,16902,"fish",35.092,33.073,"Achziv251Spring2016",5,24,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"26","Achziv25","Achziv","R","11/04/2016",2016,25,"Spring",12,16902,"fish",35.092,33.073,"Achziv252Spring2016",6,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"27","Achziv25","Achziv","R","11/04/2016",2016,25,"Spring",12,16902,"fish",35.092,33.073,"Achziv253Spring2016",5,14,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"28","Achziv25","Achziv","R","11/04/2016",2016,25,"Spring",12,16902,"fish",35.092,33.073,"Achziv254Spring2016",6,20,0,0,0,0,0,4,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"29","Achziv25","Achziv","R","11/05/2020",2020,25,"Spring",6,18393,"fish",35.092,33.073,"Achziv251Spring2020",5,15,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"30","Achziv25","Achziv","R","11/05/2020",2020,25,"Spring",7,18393,"fish",35.092,33.073,"Achziv252Spring2020",7,37,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0
"31","Achziv25","Achziv","R","11/05/2020",2020,25,"Spring",7,18393,"fish",35.092,33.073,"Achziv253Spring2020",5,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0
"32","Achziv25","Achziv","R","11/05/2020",2020,25,"Spring",7,18393,"fish",35.092,33.073,"Achziv254Spring2020",4,21,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"33","Achziv25","Achziv","R","18/11/2015",2015,25,"Fall",12,16757,"fish",35.092,33.073,"Achziv251Fall2015",7,58,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,20,0,0,0,0,0,2,0
"34","Achziv25","Achziv","R","18/11/2015",2015,25,"Fall",12,16757,"fish",35.092,33.073,"Achziv252Fall2015",8,20,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0
"35","Achziv25","Achziv","R","18/11/2015",2015,25,"Fall",15,16757,"fish",35.092,33.073,"Achziv253Fall2015",8,20,0,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0
"36","Achziv25","Achziv","R","18/11/2015",2015,25,"Fall",15,16757,"fish",35.092,33.073,"Achziv254Fall2015",8,107,0,0,0,0,0,55,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0
"37","Achziv25","Achziv","R","19/10/2020",2020,25,"Fall",5,18554,"fish",35.092,33.073,"Achziv251Fall2020",6,53,0,0,0,0,0,30,10,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
"38","Achziv25","Achziv","R","19/10/2020",2020,25,"Fall",5,18554,"fish",35.092,33.073,"Achziv252Fall2020",9,53,0,0,0,0,0,7,6,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,5,20,0,0,0,0,0,0,0
"39","Achziv25","Achziv","R","19/10/2020",2020,25,"Fall",5,18554,"fish",35.092,33.073,"Achziv253Fall2020",7,84,0,0,0,0,0,46,7,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"40","Achziv25","Achziv","R","19/10/2020",2020,25,"Fall",5,18554,"fish",35.092,33.073,"Achziv254Fall2020",9,59,0,0,0,0,0,10,12,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,20,0,0,0,0,0,3,0
"41","Achziv25","Achziv","R","20/04/2021",2021,25,"Spring",5,18737,"fish",35.092,33.073,"Achziv251Spring2021",5,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"42","Achziv25","Achziv","R","20/04/2021",2021,25,"Spring",5,18737,"fish",35.092,33.073,"Achziv253Spring2021",5,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Achziv25","Achziv","R","20/04/2021",2021,25,"Spring",6,18737,"fish",35.092,33.073,"Achziv252Spring2021",9,23,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0
"44","Achziv25","Achziv","R","20/04/2021",2021,25,"Spring",6,18737,"fish",35.092,33.073,"Achziv254Spring2021",5,15,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"45","Achziv25","Achziv","R","20/05/2015",2015,25,"Spring",15,16575,"fish",35.092,33.073,"Achziv251Spring2015",4,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"46","Achziv25","Achziv","R","20/05/2015",2015,25,"Spring",15,16575,"fish",35.092,33.073,"Achziv252Spring2015",6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,18,0,0,0,0,0,5,0
"47","Achziv25","Achziv","R","20/05/2015",2015,25,"Spring",15,16575,"fish",35.092,33.073,"Achziv253Spring2015",4,7,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"48","Achziv25","Achziv","R","20/05/2015",2015,25,"Spring",15,16575,"fish",35.092,33.073,"Achziv254Spring2015",5,7,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"49","Achziv25","Achziv","R","28/11/2021",2021,25,"Fall",10,18959,"fish",35.092,33.073,"Achziv252Fall2021",6,55,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0
"50","Achziv25","Achziv","R","28/11/2021",2021,25,"Fall",10,18959,"fish",35.092,33.073,"Achziv253Fall2021",7,44,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,15,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"51","Achziv25","Achziv","R","28/11/2021",2021,25,"Fall",10,18959,"fish",35.092,33.073,"Achziv254Fall2021",10,87,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,10,1
"52","Achziv25","Achziv","R","28/11/2021",2021,25,"Fall",12,18959,"fish",35.092,33.073,"Achziv251Fall2021",7,35,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Achziv25","Achziv","R","30/10/2022",2022,25,"Fall",10,19295,"fish",35.092,33.073,"Achziv254Fall2022",9,74,0,0,0,0,0,53,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
"54","Achziv25","Achziv","R","30/10/2022",2022,25,"Fall",12,19295,"fish",35.092,33.073,"Achziv251Fall2022",10,80,0,0,0,0,0,20,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,12,9,4,0,0,0,0,16,0
"55","Achziv25","Achziv","R","30/10/2022",2022,25,"Fall",12,19295,"fish",35.092,33.073,"Achziv252Fall2022",11,63,0,0,0,0,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13,2,0,0,0,0,0,0,13,3,7,0,0,0,0,6,0
"56","Achziv25","Achziv","R","30/10/2022",2022,25,"Fall",12,19295,"fish",35.092,33.073,"Achziv253Fall2022",9,53,0,0,0,0,0,11,7,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0
"57","Achziv25","Achziv","R","31/10/2018",2018,25,"Fall",9,17835,"fish",35.092,33.073,"Achziv251Fall2018",6,37,0,0,0,0,0,31,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58","Achziv25","Achziv","R","31/10/2018",2018,25,"Fall",10,17835,"fish",35.092,33.073,"Achziv252Fall2018",7,55,0,0,0,0,0,31,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"59","Achziv25","Achziv","R","31/10/2018",2018,25,"Fall",10,17835,"fish",35.092,33.073,"Achziv253Fall2018",7,28,0,0,0,0,0,8,7,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"60","Achziv25","Achziv","R","31/10/2018",2018,25,"Fall",10,17835,"fish",35.092,33.073,"Achziv254Fall2018",5,92,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"61","Achziv45","Achziv","R","01/11/2020",2020,45,"Fall",5,18567,"fish",35.073,33.088,"Achziv451Fall2020",4,96,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,60,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"62","Achziv45","Achziv","R","01/11/2020",2020,45,"Fall",5,18567,"fish",35.073,33.088,"Achziv452Fall2020",5,71,0,0,0,0,0,52,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
"63","Achziv45","Achziv","R","01/11/2020",2020,45,"Fall",5,18567,"fish",35.073,33.088,"Achziv453Fall2020",5,46,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0
"64","Achziv45","Achziv","R","01/11/2020",2020,45,"Fall",5,18567,"fish",35.073,33.088,"Achziv454Fall2020",8,40,0,0,0,0,0,5,0,0,0,0,20,1,0,0,2,0,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"65","Achziv45","Achziv","R","04/05/2017",2017,45,"Spring",4,17290,"fish",35.073,33.088,"Achziv453Spring2017",3,70,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Achziv45","Achziv","R","04/05/2017",2017,45,"Spring",5,17290,"fish",35.073,33.088,"Achziv454Spring2017",2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"67","Achziv45","Achziv","R","04/05/2017",2017,45,"Spring",6,17290,"fish",35.073,33.088,"Achziv451Spring2017",3,12,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"68","Achziv45","Achziv","R","04/05/2017",2017,45,"Spring",6,17290,"fish",35.073,33.088,"Achziv452Spring2017",4,7,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"69","Achziv45","Achziv","R","05/05/2019",2019,45,"Spring",5,18021,"fish",35.073,33.088,"Achziv451Spring2019",3,13,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"70","Achziv45","Achziv","R","05/05/2019",2019,45,"Spring",5,18021,"fish",35.073,33.088,"Achziv452Spring2019",6,133,0,0,0,0,0,16,2,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Achziv45","Achziv","R","05/05/2019",2019,45,"Spring",5,18021,"fish",35.073,33.088,"Achziv453Spring2019",2,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"72","Achziv45","Achziv","R","05/05/2019",2019,45,"Spring",5,18021,"fish",35.073,33.088,"Achziv454Spring2019",4,7,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"73","Achziv45","Achziv","R","08/06/2020",2020,45,"Spring",6,18421,"fish",35.073,33.088,"Achziv452Spring2020",3,8,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"74","Achziv45","Achziv","R","08/06/2020",2020,45,"Spring",7,18421,"fish",35.073,33.088,"Achziv451Spring2020",4,59,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,1,0
"75","Achziv45","Achziv","R","08/06/2020",2020,45,"Spring",7,18421,"fish",35.073,33.088,"Achziv453Spring2020",6,155,0,0,0,0,0,0,0,0,3,0,2,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Achziv45","Achziv","R","08/06/2020",2020,45,"Spring",10,18421,"fish",35.073,33.088,"Achziv453Spring2020",6,155,0,0,0,0,0,0,0,0,0,0,33,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Achziv45","Achziv","R","08/06/2020",2020,45,"Spring",10,18421,"fish",35.073,33.088,"Achziv454Spring2020",4,7,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"78","Achziv45","Achziv","R","09/11/2021",2021,45,"Fall",8,18940,"fish",35.073,33.088,"Achziv452Fall2021",7,103,0,7,0,0,0,30,0,0,0,0,2,0,0,8,10,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Achziv45","Achziv","R","09/11/2021",2021,45,"Fall",8,18940,"fish",35.073,33.088,"Achziv453Fall2021",6,17,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
"80","Achziv45","Achziv","R","09/11/2021",2021,45,"Fall",9,18940,"fish",35.073,33.088,"Achziv451Fall2021",10,46,0,0,0,0,1,23,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,4,0
"81","Achziv45","Achziv","R","09/11/2021",2021,45,"Fall",9,18940,"fish",35.073,33.088,"Achziv454Fall2021",10,76,0,0,0,0,0,40,2,0,0,0,0,0,0,7,2,0,0,0,0,5,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
"82","Achziv45","Achziv","R","09/12/2015",2015,45,"Fall",8,16778,"fish",35.073,33.088,"Achziv451Fall2015",3,18,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"83","Achziv45","Achziv","R","09/12/2015",2015,45,"Fall",8,16778,"fish",35.073,33.088,"Achziv452Fall2015",4,8,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
